iter	Passed	Remaining
171	2580	27426
172	2591	27369
173	2603	27318
174	2614	27265
175	2619	27143
176	2623	27023
177	2635	26977
178	2646	26922
179	2658	26884
180	2669	26831
181	2681	26782
182	2693	26745
183	2705	26697
184	2716	26650
185	2728	26611
186	2739	26562
187	2751	26515
188	2763	26478
189	2774	26432
190	2785	26386
191	2797	26341
192	2810	26315
193	2823	26284
194	2835	26249
195	2847	26205
196	2858	26162
197	2871	26134
198	2883	26095
199	2896	26068
200	2909	26043
201	2921	26001
202	2933	25969
203	2944	25924
204	2955	25882
205	2967	25842
206	2979	25803
207	2990	25766
208	3001	25724
209	3015	25704
210	3028	25677
211	3039	25634
212	3050	25590
213	3062	25559
214	3073	25520
215	3085	25479
216	3096	25440
217	3107	25402
218	3119	25366
219	3130	25327
220	3141	25290
221	3156	25278
222	3168	25245
223	3179	25211
224	3191	25178
225	3204	25153
226	3217	25131
227	3231	25118
228	3245	25096
229	3259	25082
230	3273	25066
231	3280	24997
232	3296	25000
233	3314	25012
234	3334	25042
235	3360	25119
236	3378	25132
237	3394	25127
238	3406	25098
239	3414	25038
240	3426	25008
241	3439	24987
242	3452	24964
243	3463	24927
244	3474	24891
245	3486	24857
246	3497	24821
247	3508	24785
248	3520	24754
249	3531	24721
250	3542	24683
251	3553	24646
252	3565	24617
253	3576	24584
254	3587	24549
255	3599	24518
256	3610	24484
257	3621	24449
258	3632	24419
259	3645	24394
260	3657	24366
261	3667	24331
262	3679	24300
263	3691	24274
264	3702	24242
265	3714	24217
266	3726	24187
267	3737	24156
268	3749	24124
269	3759	24090
270	3771	24064
271	3787	24064
272	3801	24051
273	3816	24042
274	3831	24034
275	3844	24014
276	3857	23995
277	3868	23965
278	3880	23936
279	3894	23922
280	3910	23922
281	3923	23900
282	3934	23870
283	3941	23814
284	3952	23787
285	3964	23759
286	3975	23731
287	3986	23698
288	3997	23668
289	4008	23638
290	4020	23609
291	4031	23581
292	4042	23553
293	4053	23522
294	4066	23501
295	4077	23472
296	4088	23443
297	4100	23420
298	4112	23397
299	4126	23383
300	4139	23366
301	4154	23357
302	4170	23359
303	4184	23347
304	4197	23328
305	4209	23304
306	4222	23287
307	4234	23261
308	4246	23239
309	4257	23209
310	4270	23193
311	4282	23171
312	4294	23146
313	4307	23126
314	4318	23099
315	4330	23075
316	4340	23045
317	4352	23020
318	4365	23004
319	4376	22976
320	4387	22951
321	4399	22924
322	4410	22898
323	4422	22878
324	4433	22849
325	4445	22827
326	4457	22807
327	4470	22788
328	4484	22774
329	4500	22772
330	4514	22762
331	4527	22745
332	4539	22723
333	4555	22724
334	4567	22703
335	4579	22681
336	4591	22658
337	4602	22633
338	4615	22612
339	4626	22588
340	4637	22563
341	4649	22538
342	4658	22503
343	4669	22481
344	4681	22457
345	4692	22431
346	4703	22407
347	4716	22389
348	4727	22363
349	4738	22339
350	4749	22314
351	4760	22290
352	4772	22265
353	4783	22241
354	4794	22214
355	4805	22191
356	4818	22176
357	4832	22166
358	4845	22147
359	4851	22099
360	4865	22089
361	4872	22047
362	4884	22026
363	4895	22005
364	4908	21987
365	4918	21958
366	4929	21934
367	4940	21908
368	4951	21886
369	4962	21861
370	4973	21836
371	4984	21813
372	4994	21787
373	5006	21767
374	5017	21744
375	5029	21721
376	5040	21698
377	5051	21675
378	5063	21657
379	5074	21633
380	5085	21608
381	5095	21583
382	5107	21563
383	5118	21539
384	5129	21516
385	5140	21495
386	5152	21477
387	5164	21455
388	5175	21432
389	5187	21416
390	5200	21401
391	5213	21386
392	5226	21371
393	5239	21358
394	5245	21315
395	5259	21303
396	5273	21292
397	5285	21274
398	5296	21254
399	5309	21236
400	5319	21210
401	5332	21195
402	5344	21179
403	5359	21174
404	5374	21168
405	5390	21162
406	5404	21155
407	5417	21140
408	5430	21125
409	5442	21107
410	5456	21096
411	5470	21085
412	5484	21073
413	5496	21057
414	5509	21042
415	5525	21038
416	5544	21047
417	5561	21047
418	5574	21032
419	5587	21018
420	5599	21002
421	5611	20981
422	5623	20963
423	5627	20918
424	5639	20897
425	5647	20864
426	5658	20844
427	5672	20832
428	5685	20820
429	5699	20810
430	5712	20795
431	5725	20782
432	5739	20771
433	5752	20757
434	5767	20750
435	5779	20731
436	5790	20711
437	5802	20692
438	5814	20675
439	5825	20653
440	5836	20634
441	5848	20615
442	5860	20596
443	5872	20579
444	5883	20558
445	5895	20542
446	5907	20525
447	5920	20509
448	5932	20494
449	5945	20479
450	5957	20461
451	5965	20431
452	5979	20418
453	5991	20403
454	6002	20383
455	6017	20373
456	6030	20362
457	6045	20354
458	6057	20336
459	6071	20326
460	6084	20313
461	6098	20300
462	6110	20284
463	6123	20269
464	6135	20253
465	6147	20236
466	6158	20216
467	6169	20196
468	6180	20177
469	6187	20142
470	6198	20121
471	6209	20101
472	6220	20082
473	6231	20062
474	6242	20041
475	6253	20022
476	6265	20006
477	6276	19985
478	6287	19964
479	6298	19945
480	6309	19925
481	6320	19905
482	6331	19885
483	6343	19868
484	6355	19852
485	6367	19835
486	6378	19816
487	6390	19799
488	6402	19782
489	6415	19769
490	6428	19757
491	6442	19745
492	6454	19731
493	6466	19713
494	6478	19697
495	6494	19691
496	6506	19676
497	6518	19660
498	6529	19641
499	6538	19614
500	6549	19595
501	6555	19560
502	6567	19546
503	6580	19533
504	6592	19516
505	6601	19491
506	6613	19474
507	6624	19455
508	6634	19435
509	6646	19417
510	6658	19402
511	6669	19382
512	6679	19362
513	6690	19343
514	6701	19324
515	6712	19305
516	6724	19288
517	6735	19270
518	6742	19240
519	6753	19221
520	6761	19193
521	6771	19173
522	6783	19156
523	6794	19138
524	6806	19121
525	6817	19104
526	6827	19084
527	6840	19070
528	6853	19057
529	6864	19039
530	6876	19023
531	6890	19012
532	6902	18998
533	6914	18982
534	6925	18964
535	6937	18948
536	6949	18934
537	6962	18919
538	6973	18902
539	6986	18888
540	6999	18877
541	7010	18859
542	7022	18842
543	7033	18825
544	7045	18809
545	7057	18794
546	7069	18779
547	7081	18762
548	7093	18746
549	7107	18737
550	7120	18724
551	7131	18708
552	7143	18691
553	7155	18675
554	7166	18659
555	7177	18641
556	7187	18621
557	7199	18604
558	7210	18588
559	7222	18571
560	7233	18553
561	7244	18536
562	7251	18508
563	7262	18490
564	7273	18472
565	7283	18453
566	7295	18437
567	7307	18422
568	7319	18407
569	7332	18395
570	7344	18379
571	7356	18364
572	7368	18350
573	7380	18334
574	7393	18324
575	7405	18306
576	7415	18289
577	7427	18272
578	7438	18254
579	7448	18237
580	7461	18223
581	7472	18206
582	7483	18188
583	7494	18170
584	7505	18153
585	7512	18127
586	7523	18110
587	7534	18092
588	7545	18076
589	7557	18060
590	7568	18042
591	7579	18026
592	7590	18008
593	7600	17991
594	7612	17976
595	7624	17960
596	7635	17943
597	7645	17925
598	7657	17910
599	7668	17893
600	7680	17877
601	7691	17860
602	7703	17848
603	7715	17831
604	7727	17817
605	7740	17804
606	7752	17790
607	7763	17775
608	7771	17749
609	7781	17731
610	7792	17715
611	7803	17698
612	7813	17680
613	7825	17664
614	7836	17647
615	7847	17630
616	7858	17615
617	7869	17598
618	7880	17580
619	7891	17564
620	7902	17547
621	7913	17532
622	7926	17519
623	7938	17504
624	7949	17489
625	7960	17473
626	7973	17459
627	7984	17443
628	7995	17427
629	8006	17411
630	8018	17397
631	8029	17380
632	8040	17364
633	8052	17350
634	8065	17337
635	8076	17320
636	8087	17304
637	8093	17277
638	8098	17249
639	8111	17236
640	8123	17222
641	8136	17210
642	8149	17199
643	8163	17188
644	8176	17177
645	8190	17166
646	8201	17151
647	8213	17136
648	8225	17122
649	8235	17104
650	8247	17091
651	8260	17079
652	8271	17062
653	8283	17048
654	8295	17034
655	8306	17018
656	8320	17007
657	8336	17002
658	8351	16994
659	8363	16981
660	8376	16968
661	8389	16955
662	8403	16945
663	8418	16938
664	8434	16933
665	8452	16929
666	8464	16916
667	8473	16896
668	8487	16885
669	8503	16880
670	8516	16867
671	8530	16858
672	8542	16844
673	8555	16831
674	8568	16819
675	8580	16805
676	8592	16791
677	8604	16776
678	8615	16761
679	8626	16746
680	8637	16730
681	8649	16715
682	8660	16700
683	8671	16683
684	8682	16667
685	8693	16651
686	8703	16634
687	8715	16619
688	8727	16605
689	8738	16590
690	8748	16573
691	8761	16560
692	8773	16546
693	8784	16530
694	8795	16514
695	8808	16504
696	8822	16493
697	8836	16482
698	8847	16467
699	8859	16452
700	8869	16436
701	8879	16418
702	8890	16402
703	8896	16377
704	8907	16361
705	8917	16344
706	8929	16331
707	8941	16316
708	8951	16299
709	8962	16283
710	8973	16268
711	8984	16252
712	8996	16238
713	9008	16225
714	9021	16212
715	9032	16198
716	9044	16184
717	9056	16171
718	9069	16158
719	9081	16144
720	9096	16135
721	9108	16123
722	9122	16111
723	9136	16102
724	9148	16088
725	9160	16075
726	9173	16062
727	9185	16049
728	9198	16037
729	9210	16023
730	9223	16012
731	9236	15999
732	9248	15986
733	9261	15973
734	9273	15960
735	9288	15951
736	9301	15939
737	9318	15935
738	9336	15931
739	9352	15925
740	9374	15927
741	9395	15930
742	9422	15940
743	9445	15945
744	9466	15947
745	9483	15942
746	9506	15946
747	9530	15951
748	9555	15959
749	9572	15953
750	9588	15947
751	9604	15939
752	9623	15936
753	9641	15933
754	9658	15927
755	9675	15921
756	9687	15906
757	9698	15891
758	9710	15876
759	9722	15862
760	9735	15850
761	9747	15836
762	9758	15821
763	9769	15805
764	9780	15789
765	9791	15773
766	9802	15758
767	9813	15742
768	9824	15726
769	9835	15711
770	9848	15698
771	9859	15683
772	9872	15670
773	9878	15647
774	9892	15637
775	9907	15627
776	9921	15616
777	9938	15609
778	9956	15604
779	9967	15590
780	9980	15577
781	9991	15562
782	10001	15545
783	10013	15530
784	10023	15514
785	10034	15498
786	10045	15483
787	10056	15467
788	10067	15451
789	10078	15436
790	10088	15420
791	10099	15403
792	10110	15388
793	10121	15373
794	10133	15359
795	10145	15346
796	10153	15325
797	10165	15312
798	10178	15300
799	10193	15289
800	10208	15280
801	10221	15269
802	10234	15256
803	10247	15243
804	10261	15232
805	10274	15221
806	10285	15205
807	10297	15190
808	10309	15178
809	10321	15163
810	10332	15148
811	10343	15133
812	10349	15110
813	10360	15094
814	10371	15080
815	10381	15063
816	10392	15048
817	10403	15033
818	10414	15017
819	10424	15001
820	10435	14986
821	10446	14970
822	10457	14956
823	10468	14940
824	10479	14925
825	10490	14910
826	10503	14898
827	10516	14885
828	10527	14870
829	10540	14857
830	10554	14847
831	10566	14833
832	10577	14818
833	10589	14805
834	10601	14790
835	10611	14775
836	10619	14755
837	10624	14732
838	10636	14718
839	10647	14704
840	10658	14688
841	10670	14675
842	10682	14661
843	10694	14647
844	10705	14633
845	10714	14615
846	10726	14601
847	10739	14589
848	10751	14575
849	10763	14561
850	10775	14548
851	10786	14534
852	10799	14521
853	10812	14510
854	10824	14496
855	10839	14486
856	10854	14476
857	10867	14464
858	10879	14450
859	10890	14436
860	10903	14423
861	10910	14404
862	10922	14389
863	10934	14376
864	10948	14365
865	10961	14353
866	10971	14337
867	10983	14323
868	10994	14309
869	11005	14294
870	11017	14280
871	11028	14266
872	11040	14252
873	11052	14239
874	11064	14226
875	11078	14214
876	11089	14200
877	11101	14186
878	11115	14175
879	11132	14169
880	11152	14164
881	11172	14161
882	11188	14152
883	11208	14149
884	11229	14148
885	11244	14138
886	11261	14131
887	11276	14120
888	11308	14132
889	11323	14123
890	11339	14114
891	11346	14094
892	11360	14082
893	11374	14071
894	11387	14059
895	11400	14046
896	11417	14039
897	11434	14032
898	11450	14023
899	11463	14010
900	11475	13997
901	11491	13988
902	11504	13975
903	11510	13954
904	11522	13941
905	11534	13927
906	11547	13915
907	11560	13903
908	11573	13890
909	11585	13877
910	11598	13864
911	11610	13851
912	11622	13837
913	11633	13823
914	11641	13804
915	11651	13788
916	11662	13773
917	11673	13758
918	11683	13742
919	11694	13727
920	11705	13713
921	11715	13697
922	11726	13682
923	11736	13667
924	11747	13652
925	11759	13638
926	11771	13625
927	11783	13611
928	11794	13597
929	11805	13582
930	11816	13568
931	11828	13554
932	11839	13539
933	11850	13524
934	11861	13510
935	11872	13496
936	11883	13481
937	11894	13467
938	11907	13454
939	11920	13442
940	11936	13433
941	11957	13429
942	11974	13422
943	11993	13416
944	12013	13411
945	12030	13403
946	12049	13398
947	12070	13394
948	12086	13386
949	12101	13375
950	12115	13364
951	12127	13350
952	12139	13336
953	12151	13322
954	12161	13308
955	12173	13294
956	12184	13279
957	12196	13265
958	12206	13250
959	12218	13236
960	12229	13222
961	12240	13207
962	12252	13193
963	12263	13179
964	12275	13165
965	12286	13150
966	12297	13136
967	12307	13121
968	12318	13106
969	12328	13091
970	12339	13076
971	12350	13061
972	12360	13046
973	12371	13031
974	12381	13016
975	12391	13001
976	12402	12986
977	12412	12971
978	12422	12955
979	12433	12940
980	12443	12925
981	12454	12910
982	12465	12896
983	12476	12882
984	12486	12866
985	12497	12851
986	12507	12836
987	12517	12821
988	12523	12801
989	12534	12787
990	12545	12773
991	12555	12757
992	12566	12743
993	12576	12728
994	12586	12713
995	12598	12699
996	12608	12684
997	12621	12672
998	12634	12659
999	12647	12647
1000	12660	12635
1001	12675	12624
1002	12690	12614
1003	12703	12601
1004	12718	12592
1005	12731	12579
1006	12747	12570
1007	12765	12562
1008	12779	12551
1009	12795	12542
1010	12807	12529
1011	12819	12515
1012	12830	12501
1013	12842	12488
1014	12853	12473
1015	12863	12458
1016	12875	12444
1017	12886	12430
1018	12891	12411
1019	12901	12395
1020	12912	12381
1021	12923	12367
1022	12934	12352
1023	12944	12337
1024	12955	12323
1025	12966	12309
1026	12976	12294
1027	12988	12281
1028	13001	12268
1029	13014	12256
1030	13028	12244
1031	13041	12232
1032	13055	12221
1033	13070	12210
1034	13083	12198
1035	13096	12186
1036	13111	12175
1037	13126	12165
1038	13141	12154
1039	13155	12143
1040	13171	12133
1041	13187	12124
1042	13202	12114
1043	13219	12105
1044	13232	12093
1045	13246	12080
1046	13259	12069
1047	13273	12057
1048	13289	12047
1049	13303	12036
1050	13320	12027
1051	13336	12017
1052	13349	12005
1053	13361	11992
1054	13372	11978
1055	13384	11965
1056	13402	11956
1057	13418	11947
1058	13431	11934
1059	13448	11926
1060	13462	11914
1061	13474	11901
1062	13489	11890
1063	13508	11883
1064	13526	11875
1065	13542	11865
1066	13559	11857
1067	13576	11848
1068	13590	11836
1069	13605	11825
1070	13618	11812
1071	13629	11798
1072	13643	11787
1073	13657	11775
1074	13671	11764
1075	13684	11751
1076	13695	11737
1077	13705	11722
1078	13716	11708
1079	13727	11694
1080	13738	11679
1081	13748	11664
1082	13760	11651
1083	13770	11636
1084	13781	11622
1085	13792	11608
1086	13803	11593
1087	13814	11579
1088	13827	11567
1089	13838	11553
1090	13848	11538
1091	13860	11525
1092	13871	11511
1093	13881	11496
1094	13892	11482
1095	13902	11467
1096	13912	11452
1097	13923	11437
1098	13933	11423
1099	13944	11408
1100	13954	11394
1101	13965	11380
1102	13976	11366
1103	13987	11352
1104	13997	11337
1105	14008	11323
1106	14019	11309
1107	14029	11294
1108	14040	11280
1109	14051	11266
1110	14061	11251
1111	14072	11237
1112	14083	11223
1113	14093	11209
1114	14105	11195
1115	14115	11181
1116	14126	11167
1117	14138	11153
1118	14148	11139
1119	14159	11125
1120	14170	11111
1121	14181	11097
1122	14193	11084
1123	14207	11072
1124	14225	11063
1125	14245	11057
1126	14262	11047
1127	14279	11038
1128	14294	11027
1129	14312	11019
1130	14332	11012
1131	14353	11006
1132	14369	10995
1133	14382	10983
1134	14395	10971
1135	14407	10957
1136	14422	10947
1137	14437	10935
1138	14452	10925
1139	14466	10913
1140	14481	10902
1141	14495	10890
1142	14508	10877
1143	14521	10865
1144	14537	10855
1145	14551	10844
1146	14566	10832
1147	14580	10820
1148	14595	10810
1149	14610	10799
1150	14624	10787
1151	14639	10776
1152	14656	10766
1153	14670	10755
1154	14683	10742
1155	14696	10730
1156	14708	10716
1157	14721	10704
1158	14735	10692
1159	14749	10680
1160	14764	10669
1161	14776	10656
1162	14790	10644
1163	14802	10631
1164	14815	10618
1165	14826	10605
1166	14838	10591
1167	14849	10577
1168	14860	10563
1169	14870	10549
1170	14881	10534
1171	14892	10521
1172	14903	10507
1173	14913	10492
1174	14924	10478
1175	14935	10464
1176	14945	10450
1177	14956	10436
1178	14966	10421
1179	14977	10407
1180	14987	10393
1181	14998	10379
1182	15008	10365
1183	15019	10351
1184	15029	10336
1185	15040	10322
1186	15050	10308
1187	15060	10294
1188	15071	10279
1189	15081	10265
1190	15092	10251
1191	15103	10237
1192	15113	10223
1193	15124	10209
1194	15134	10195
1195	15145	10181
1196	15157	10168
1197	15167	10154
1198	15178	10140
1199	15189	10126
1200	15199	10112
1201	15209	10097
1202	15220	10084
1203	15231	10070
1204	15243	10056
1205	15253	10042
1206	15264	10028
1207	15274	10014
1208	15285	10000
1209	15294	9985
1210	15305	9972
1211	15311	9955
1212	15322	9941
1213	15332	9926
1214	15342	9912
1215	15353	9898
1216	15364	9885
1217	15374	9871
1218	15380	9853
1219	15389	9839
1220	15400	9825
1221	15410	9811
1222	15420	9797
1223	15431	9783
1224	15442	9769
1225	15453	9756
1226	15463	9742
1227	15473	9727
1228	15484	9714
1229	15495	9700
1230	15505	9686
1231	15516	9672
1232	15527	9659
1233	15534	9643
1234	15547	9630
1235	15552	9613
1236	15566	9601
1237	15577	9588
1238	15588	9574
1239	15599	9560
1240	15610	9547
1241	15621	9533
1242	15633	9521
1243	15644	9507
1244	15654	9493
1245	15664	9479
1246	15675	9465
1247	15685	9451
1248	15696	9437
1249	15706	9424
1250	15716	9410
1251	15727	9396
1252	15738	9382
1253	15749	9369
1254	15759	9355
1255	15769	9341
1256	15780	9327
1257	15790	9313
1258	15801	9299
1259	15811	9286
1260	15822	9272
1261	15833	9259
1262	15843	9245
1263	15854	9231
1264	15864	9217
1265	15874	9203
1266	15883	9188
1267	15893	9175
1268	15903	9161
1269	15914	9147
1270	15927	9135
1271	15938	9122
1272	15949	9108
1273	15959	9094
1274	15969	9080
1275	15979	9066
1276	15986	9050
1277	15996	9037
1278	16007	9023
1279	16018	9010
1280	16029	8997
1281	16041	8984
1282	16052	8970
1283	16063	8957
1284	16076	8945
1285	16089	8933
1286	16101	8920
1287	16115	8908
1288	16129	8897
1289	16144	8885
1290	16159	8874
1291	16174	8863
1292	16187	8850
1293	16200	8839
1294	16215	8827
1295	16229	8816
1296	16245	8805
1297	16256	8792
1298	16268	8779
1299	16280	8766
1300	16292	8753
1301	16307	8742
1302	16321	8730
1303	16332	8717
1304	16347	8706
1305	16366	8696
1306	16381	8685
1307	16395	8674
1308	16407	8661
1309	16420	8649
1310	16434	8637
1311	16448	8625
1312	16469	8617
1313	16569	8650
1314	16583	8638
1315	16602	8629
1316	16622	8620
1317	16639	8610
1318	16651	8597
1319	16691	8598
1320	16705	8586
1321	16717	8573
1322	16728	8560
1323	16738	8546
1324	16744	8530
1325	16755	8516
1326	16765	8502
1327	16775	8488
1328	16785	8475
1329	16795	8461
1330	16806	8447
1331	16817	8433
1332	16827	8420
1333	16839	8406
1334	16849	8392
1335	16858	8378
1336	16869	8365
1337	16879	8351
1338	16890	8338
1339	16901	8324
1340	16912	8311
1341	16922	8297
1342	16934	8284
1343	16941	8268
1344	16952	8255
1345	16962	8241
1346	16972	8228
1347	16983	8214
1348	16993	8200
1349	17004	8187
1350	17015	8173
1351	17025	8160
1352	17035	8146
1353	17046	8132
1354	17056	8119
1355	17067	8105
1356	17078	8092
1357	17088	8078
1358	17096	8064
1359	17106	8050
1360	17117	8036
1361	17128	8023
1362	17139	8009
1363	17150	7996
1364	17160	7983
1365	17172	7970
1366	17185	7957
1367	17198	7945
1368	17212	7933
1369	17225	7921
1370	17239	7909
1371	17252	7896
1372	17264	7884
1373	17276	7871
1374	17288	7858
1375	17300	7845
1376	17313	7833
1377	17327	7821
1378	17341	7809
1379	17354	7797
1380	17367	7784
1381	17378	7771
1382	17389	7758
1383	17400	7744
1384	17412	7731
1385	17423	7718
1386	17434	7705
1387	17446	7692
1388	17459	7680
1389	17470	7667
1390	17482	7654
1391	17495	7641
1392	17506	7628
1393	17517	7615
1394	17528	7602
1395	17540	7589
1396	17550	7575
1397	17561	7562
1398	17572	7548
1399	17582	7535
1400	17593	7522
1401	17604	7508
1402	17613	7494
1403	17623	7481
1404	17633	7467
1405	17644	7454
1406	17654	7440
1407	17664	7427
1408	17675	7413
1409	17685	7400
1410	17695	7386
1411	17705	7373
1412	17715	7359
1413	17725	7346
1414	17737	7332
1415	17747	7319
1416	17758	7306
1417	17768	7292
1418	17777	7279
1419	17788	7265
1420	17797	7251
1421	17807	7238
1422	17818	7225
1423	17828	7211
1424	17839	7198
1425	17850	7185
1426	17858	7170
1427	17869	7157
1428	17879	7144
1429	17890	7131
1430	17901	7118
1431	17912	7104
1432	17923	7091
1433	17935	7078
1434	17945	7065
1435	17957	7052
1436	17968	7039
1437	17979	7026
1438	17989	7013
1439	18000	7000
1440	18010	6986
1441	18020	6973
1442	18031	6960
1443	18041	6946
1444	18053	6933
1445	18063	6920
1446	18074	6907
1447	18084	6894
1448	18094	6880
1449	18105	6867
1450	18116	6854
1451	18126	6841
1452	18137	6828
1453	18149	6815
1454	18160	6802
1455	18170	6789
1456	18182	6776
1457	18192	6762
1458	18202	6749
1459	18214	6736
1460	18224	6723
1461	18235	6710
1462	18246	6697
1463	18251	6682
1464	18261	6668
1465	18271	6655
1466	18282	6642
1467	18292	6629
1468	18302	6615
1469	18312	6602
1470	18323	6589
1471	18333	6576
1472	18344	6563
1473	18354	6549
1474	18365	6536
1475	18375	6523
1476	18385	6510
1477	18395	6497
1478	18406	6483
1479	18416	6470
1480	18427	6457
1481	18437	6444
1482	18449	6431
1483	18459	6418
1484	18469	6405
1485	18480	6392
1486	18491	6379
1487	18501	6366
1488	18512	6353
1489	18523	6340
1490	18534	6327
1491	18539	6312
1492	18550	6299
1493	18561	6286
1494	18572	6273
1495	18579	6259
1496	18589	6246
1497	18599	6233
1498	18610	6219
1499	18620	6206
1500	18630	6193
1501	18641	6180
1502	18651	6167
1503	18662	6154
1504	18672	6141
1505	18682	6128
1506	18693	6115
1507	18703	6102
1508	18713	6089
1509	18723	6075
1510	18733	6062
1511	18744	6049
1512	18755	6036
1513	18765	6023
1514	18775	6010
1515	18786	5997
1516	18796	5984
1517	18807	5971
1518	18818	5959
1519	18830	5946
1520	18841	5933
1521	18847	5919
1522	18857	5906
1523	18869	5893
1524	18879	5880
1525	18889	5867
1526	18900	5854
1527	18910	5841
1528	18916	5827
1529	18927	5814
1530	18938	5801
1531	18949	5788
1532	18960	5775
1533	18970	5762
1534	18980	5749
1535	18991	5736
1536	19001	5724
1537	19011	5710
1538	19021	5697
1539	19032	5684
1540	19042	5672
1541	19054	5659
1542	19065	5646
1543	19075	5633
1544	19086	5620
1545	19096	5607
1546	19107	5595
1547	19118	5582
1548	19127	5569
1549	19139	5556
1550	19149	5543
1551	19159	5530
1552	19170	5517
1553	19180	5504
1554	19189	5491
1555	19200	5478
1556	19211	5465
1557	19221	5453
1558	19231	5440
1559	19241	5427
1560	19252	5414
1561	19262	5401
1562	19271	5388
1563	19282	5375
1564	19293	5362
1565	19303	5349
1566	19313	5336
1567	19323	5323
1568	19335	5311
1569	19345	5298
1570	19355	5285
1571	19366	5272
1572	19376	5259
1573	19387	5247
1574	19397	5234
1575	19408	5221
1576	19418	5208
1577	19430	5196
1578	19439	5183
1579	19450	5170
1580	19460	5157
1581	19470	5144
1582	19481	5131
1583	19491	5118
1584	19501	5106
1585	19512	5093
1586	19522	5080
1587	19532	5067
1588	19543	5054
1589	19554	5042
1590	19564	5029
1591	19571	5015
1592	19580	5002
1593	19591	4989
1594	19601	4977
1595	19612	4964
1596	19622	4951
1597	19633	4939
1598	19643	4926
1599	19653	4913
1600	19664	4900
1601	19672	4887
1602	19682	4874
1603	19693	4861
1604	19703	4849
1605	19713	4836
1606	19724	4823
1607	19734	4810
1608	19739	4796
1609	19749	4783
1610	19759	4771
1611	19769	4758
1612	19779	4745
1613	19790	4732
1614	19800	4720
1615	19810	4707
1616	19820	4694
1617	19830	4681
1618	19840	4669
1619	19851	4656
1620	19861	4643
1621	19871	4631
1622	19881	4618
1623	19892	4605
1624	19902	4592
1625	19912	4580
1626	19923	4567
1627	19933	4554
1628	19944	4542
1629	19955	4529
1630	19965	4516
1631	19975	4504
1632	19986	4491
1633	19995	4478
1634	20006	4466
1635	20013	4452
1636	20024	4440
1637	20029	4426
1638	20040	4414
1639	20049	4401
1640	20059	4388
1641	20069	4375
1642	20079	4363
1643	20090	4350
1644	20100	4337
1645	20110	4325
1646	20120	4312
1647	20131	4299
1648	20140	4286
1649	20150	4274
1650	20160	4261
1651	20171	4249
1652	20181	4236
1653	20192	4223
1654	20202	4211
1655	20207	4197
1656	20217	4185
1657	20227	4172
1658	20238	4159
1659	20249	4147
1660	20259	4134
1661	20270	4122
1662	20280	4109
1663	20292	4097
1664	20303	4084
1665	20312	4072
1666	20321	4059
1667	20334	4047
1668	20344	4034
1669	20354	4022
1670	20365	4009
